Degree_Abv,Total,25,35,45,55,Degree,Median Total,25 Earn,35 Earn,45 Earn,55 Earn
Computer Science,1665000,514485,491175,356310,301365,Computer Science,108500,89310,120600,125300,117900
Engineering,695400,167591,181499,175936,169677,Engineering,100600,80370,103200,111300,106600
Civil Eng.,556200,165191,143499,124032,122920,Civil Engineering,99660,80100,105400,123800,111900
Electrical Eng.,1197000,269325,314811,283689,329175,Electrical Engineering,121600,95750,124800,139600,131900
Mechanical Eng.,1033000,345022,244821,212798,229326,Mechanical Engineering,106200,85500,119900,135000,126400
Mathematics,699900,190372,171475,159577,177774,Mathematics,86560,65170,91600,101800,99990
Biology,2201000,783556,585466,484220,347758,Biology,81550,60760,93990,106700,104000
Chemistry,613000,166123,152637,142829,151411,Chemistry,94680,61890,100500,121900,110400
Psychology,3075000,1002450,888675,716475,464325,Psychology,62270,50560,69240,74140,72660
Economics,1267000,354760,330687,280007,302813,Economics,101400,81450,109200,121800,105500
Political Science,1440000,383040,404640,361440,290880,Political Science,86380,67950,93290,106900,96390
Sociology,878800,236397,259246,226730,157305,Sociology,63660,54430,68230,73340,61960
Nursing,2842000,807128,770182,665027,599662,Nursing,79600,68220,81510,89050,86060
General Business,2844000,600084,784944,716688,739440,General Business,80120,62970,84020,90870,83630
Accounting,2290000,512960,563340,588530,625170,Accounting,84880,74020,88340,93570,91440
Business M&A,3839000,798512,1074920,959750,1005818,Business Management and Adminstration,75600,61790,78480,83520,81510
Marketing,1516000,433576,435092,341100,306232,Marketing,75930,64030,82870,87340,80380
Finance,1429000,425842,408694,320095,274368,Finance,99900,81680,105500,115000,103900
General Edu.,1876000,343308,506520,525280,502768,General Education,58000,50040,60620,64080,59260
Elementary Edu.,1491000,284781,414498,398097,393624,Elementary Education,54900,47310,56970,62980,54530
Communications,1658000,499058,505690,387972,265280,Communications,67840,58120,74780,80000,71880
English Lit.,1670000,389110,480960,455910,342350,English Language and Literature,65060,51010,69620,76620,71770
Liberal Arts,744600,160089,216678,195085,172747,Liberal Arts,61380,47960,64260,73070,64270
History,1166000,271678,343970,310156,240196,History,73560,54240,76160,90570,86240
Fine Arts,684600,160196,202641,173888,148558,Fine Arts,53450,42220,57920,62410,53300
Commercial Art,723300,235072,232179,143213,112834,Commerical Art and Graphic Design,59770,52290,66830,68560,54740
Consumer Sciences,493300,147990,137630,109019,98660,Family and Consumer Sciences,52850,47190,57560,60360,52130
Parks & Rec.,855900,409976,233660,148070,64192,"Physical Fitness, Parks, Recreation, and Leisure",61580,52250,70740,76910,64550
Criminal Justice,1385000,444585,404420,337940,198055,Criminal Justice and Fire Protection,64690,52450,72130,79040,68800
Social Work,637700,177280,174092,160700,126264,Social Work,55060,48040,59880,61580,56970
