Degree_Abv,Total,Asian,Black,Hispanic,White,Other,Degree,Median Total,White Earn,Black Earn,Asian Earn,Other Earn,Hispanic Earn
Computer Science,1665000,487845,129870,143190,825840,78255,Computer Science,108500,113600,76950,120700,104300,86080
Engineering,695400,140470,49373,98746,374820,31988,Engineering,100600,104400,86070,110900,89810,69480
Civil Eng.,556200,91216,27810,68412,345400,23360,Civil Engineering,99660,104100,73580,97950,91530,80660
Electrical Eng.,1197000,402192,69426,112518,563787,47880,Electrical Engineering,121600,124500,87920,129800,114500,90580
Mechanical Eng.,1033000,188006,40287,90904,669384,44419,Mechanical Engineering,106200,109400,85350,112700,101900,84040
Mathematics,699900,107084,47593,53892,457734,32895,Mathmatics,86560,89790,72510,100500,91560,65330
Biology,2201000,308140,184884,211296,1386630,110050,Biology,81550,83390,63750,100100,77780,69300
Chemistry,613000,122600,47814,50266,365348,26972,Chemistry,94680,100400,72210,101100,87240,71490
Psychology,3075000,193725,325950,384375,2001824,166050,Psychology,62270,64430,56150,73570,60480,54190
Economics,1267000,220458,83622,119098,788074,57015,Economics,101400,107400,73590,97230,100600,76460
Political Science,1440000,99360,126720,151200,995039,69120,Political Science,86380,93760,63390,85540,81140,71990
Sociology,878800,65031,130941,114244,519370,49212,Sociology,63660,66250,57660,69910,66310,60340
Nursing,2842000,352408,292726,275673,1796144,122206,Nursing,79600,78940,80870,88390,78550,70100
General Business,2844000,275867,264492,273024,1905480,130823,General Business,80120,85100,60690,75650,80320,65900
Accounting,2290000,290830,210680,265640,1435830,89310,Accounting,84880,94720,67070,78490,81870,62550
Business M&A,3839000,291764,479875,506748,2384019,176594,Business Management and Adminstration,75600,82290,61890,75610,71910,59780
Marketing,1516000,93992,121280,151600,1086972,62155,Marketing,75930,80700,63060,71200,72780,60910
Finance,1429000,157190,98601,132897,978865,61447,Finance,99900,105000,74440,93120,100200,77430
General Edu.,1876000,99428,174468,242004,1279432,82544,General Education,58000,59870,54740,58580,56420,52110
Elementary Edu.,1491000,44730,87969,116298,1186835,56658,Elementary Education,54900,55100,60010,51170,52230,52920
Communications,1658000,84558,154194,165800,1175522,77926,Communications,67840,71290,59010,74680,62330,60240
English Lit.,1670000,140280,103540,130260,1215760,78490,English Language and Literature,65060,66990,61750,64800,63070,56890
Liberal Arts,744600,58078,69247,92330,486968,37230,Liberal Arts,61380,63780,49270,60920,58740,58410
History,1166000,61798,64130,89782,900152,51304,History,73560,76100,62710,72590,68010,63690
Fine Arts,684600,65037,41760,66406,475112,35599,Fine Arts,53450,54340,47470,60970,55840,47340
Commercial Art,723300,75946,39058,94029,477378,36888,Commerical Art and Graphic Design,59770,61930,52240,63190,53630,50870
Consumer Sciences,493300,41437,44397,53276,333964,20225,Family and Consumer Sciences,52850,53020,51220,62000,51860,49620
Parks & Rec.,855900,39371,71039,85590,617103,42795,"Physical Fitness, Parks, Recreation, and Leisure",61580,63520,51530,64900,63370,52080
Criminal Justice,1385000,38779,220215,210520,849005,65095,Criminal Justice and Fire Protection,64690,70370,57480,69320,62320,57930
Social Work,637700,26145,107771,84176,391547,28058,Social Work,55060,56040,54160,61930,53330,52120
